target_name,hedge_name,h_full,h_median,h_iqr,h_cv,sign_flips_%,r2_median,r2_iqr,r2_p05,windows_r2_above_25%
Coffee C,Copper,0.18533264006653283,0.1728373523324846,0.21374309309161726,1.065224452008554,13.991625959525472,0.02949081388644703,0.059001181782714004,0.0003519132877238261,1.779483600837404
Platinum,Coffee C,0.11630621198087951,0.08668509231876503,0.14276965934922511,1.0294072244354069,15.491974877878576,0.018967612236321492,0.05752274348487937,0.00018152483623209425,0.942079553384508
Coffee C,Platinum,0.2468645864839276,0.19370892186282457,0.3242896391335312,1.1651451038089642,15.491974877878576,0.018967612236321492,0.05752274348487937,0.00018152483623209425,0.942079553384508
Brent crude,Silver,0.13817323481280985,0.09702269084365306,0.20597081743904067,1.3948185431194846,19.958129797627354,0.023719851100878306,0.08047794714926074,0.00015348933027840562,2.3028611304954643
Silver,Brent crude,0.17909001326885823,0.14773138625944102,0.26965533227317867,2.3906095500134867,19.958129797627354,0.023719851100878306,0.08047794714926074,0.00015348933027840562,2.3028611304954643
Brent crude,Coffee C,0.2237848456211085,0.12049926388487235,0.26665576785012335,1.2221377318792617,20.446615491974878,0.015853999416474435,0.04548122316051863,0.00010489087849405923,0.0
Coffee C,Brent crude,0.11681646818248634,0.08916101511240093,0.16368482204808296,1.593320879168478,20.446615491974878,0.015853999416474435,0.04548122316051863,0.00010489087849405923,0.0
NY Harbor ULSD,Silver,0.18492669783466137,0.1285124544408965,0.2372542328302013,1.7847398154085672,21.73761339846476,0.022914849671978352,0.06689637045438111,0.0004689732114232507,1.5003489183531054
Silver,NY Harbor ULSD,0.09261201603173205,0.10614966016272637,0.24195377296349543,2.615797681520958,21.73761339846476,0.022914849671978352,0.06689637045438111,0.0004689732114232507,1.5003489183531054
NY Harbor ULSD,Coffee C,0.30250783106333334,0.13536840365876845,0.34024705124755605,1.4986758069879746,26.971388695045363,0.01702075088568878,0.041167649387771996,0.00013979197920325703,0.0
Coffee C,NY Harbor ULSD,0.06101411272620565,0.06092847283398295,0.1487992024539407,1.9094669447797654,26.971388695045363,0.01702075088568878,0.041167649387771996,0.00013979197920325703,0.0
RBOB gasoline,Soybeans,0.5921196229991951,0.4161934618523385,0.5605443210295098,1.104626598646137,16.08513607815771,0.0244963306173166,0.05717698436683526,0.00016075982480655564,0.13956734124214934
Soybeans,RBOB gasoline,0.08005957985907054,0.04609182339707227,0.07232376933725179,1.1682414178911715,16.08513607815771,0.0244963306173166,0.05717698436683526,0.00016075982480655564,0.13956734124214934
Coffee C,Corn,0.3663560377085199,0.5011642211030389,0.6622013315807332,1.381324140666067,14.79413817166783,0.02345689277205312,0.04381955797950224,0.00034267414417239636,0.0
Corn,Coffee C,0.049713042004100476,0.03419644212209973,0.05610919992420559,1.1769511009958893,14.79413817166783,0.02345689277205312,0.04381955797950224,0.00034267414417239636,0.0
Platinum,Soybeans,0.14955413508846654,0.14276083359766764,0.2329787590449505,1.570788189460291,19.678995115143056,0.014599371206901874,0.039630881157797816,0.0001418119087687394,0.0
Soybeans,Platinum,0.15062530904857865,0.07585443122416506,0.1482232863938065,1.3895818394626476,19.678995115143056,0.014599371206901874,0.039630881157797816,0.0001418119087687394,0.0
WTI crude,Coffee C,0.22874664585901502,0.11122971070631277,0.23925853486937557,1.3177979780833453,22.26099092812282,0.014640950794081835,0.040125540333962366,0.00016075746751534364,0.13956734124214934
Coffee C,WTI crude,0.12154258500635284,0.09241223403353703,0.15706098298298704,1.7720131701952084,22.26099092812282,0.014640950794081835,0.040125540333962366,0.00016075746751534364,0.13956734124214934
RBOB gasoline,Corn,0.8477266231517061,0.5404710750948697,1.269223782094258,1.6497553236757065,22.540125610607117,0.013402077753192913,0.046383368253851934,9.85312887329877e-05,1.2909979064898813
Corn,RBOB gasoline,0.03277804277720172,0.015958689337757223,0.034185492301511966,1.464969234543101,22.540125610607117,0.013402077753192913,0.046383368253851934,9.85312887329877e-05,1.2909979064898813
Silver,Soybeans,0.31930140146813785,0.31715602269879767,0.519861418891939,1.5449308790930305,19.678995115143056,0.013456057796209932,0.04806623477099702,0.0001336710223841564,1.465457083042568
Soybeans,Silver,0.06101974982399501,0.03366013772692203,0.08778533567641658,1.3580273486631864,19.678995115143056,0.013456057796209932,0.04806623477099702,0.0001336710223841564,1.465457083042568
Silver,Coffee C,0.20063282928848059,0.20594978614290843,0.2992822925418355,1.2426418114053401,12.97976273551989,0.021979010536646068,0.050892761233380414,0.00012374590120759496,0.20935101186322402
Coffee C,Silver,0.08080308689071718,0.09479797072403084,0.15019672521361438,1.0508328369948936,12.97976273551989,0.021979010536646068,0.050892761233380414,0.00012374590120759496,0.20935101186322402
Copper,Corn,0.40498815344915395,0.3649728321924876,0.6873393875007245,2.1264042538661725,22.854152128401953,0.01542371971059937,0.04231456755859657,0.00011680510369166801,1.8143754361479414
Corn,Copper,0.057421968936393765,0.021452875853598556,0.055320079840425876,1.6050091359184047,22.854152128401953,0.01542371971059937,0.04231456755859657,0.00011680510369166801,1.8143754361479414
RBOB gasoline,Silver,0.1517364218037671,0.09847563955115327,0.2760794968496659,1.7128132430747307,28.855547801814375,0.019970914354439682,0.05461389234733814,0.00020055421312690404,2.6866713189113747
Silver,RBOB gasoline,0.10735544912819353,0.0868698052645378,0.2214134129999534,4.7176979084493205,28.855547801814375,0.019970914354439682,0.05461389234733814,0.00020055421312690404,2.6866713189113747
Brent crude,SRW wheat,0.41615083554169335,0.3099305790631368,0.4971973164886496,1.6879316467048597,20.062805303558967,0.017305155257176345,0.04531131498281821,0.000226163064960426,0.17445917655268667
SRW wheat,Brent crude,0.08233910500828094,0.042071739636945174,0.07696588428999426,1.2023135857764125,20.062805303558967,0.017305155257176345,0.04531131498281821,0.000226163064960426,0.17445917655268667
